BakePanel.label,Bake,焼く,베이크(Bake)
Tools.twist_tutorial.label,"Twistbones Tutorial",,
Tools.twist_tutorial.desc,"This will open a basic tutorial on how to setup and use these constraints. You can skip to the Unity section.",,


tuxedo_bake.warn_missing_nodes,"A material in use isn't using Nodes, fix this in the Shading tab.",,
tuxedo_bake.preset_desktop.label,Desktop,,
tuxedo_bake.preset_desktop.desc,"Preset for producing an Excellent-rated Desktop avatar, not accounting for bones.
This will try to automatically detect which bake passes are relevant to your model",,
tuxedo_bake.preset_quest.label,Quest,,
tuxedo_bake.preset_quest.desc,"Preset for producing an Excellent-rated Quest avatar, not accounting for bones.
This will try to automatically detect which bake passes are relevant to your model",,
tuxedo_bake.bake.label,Copy and Bake (SLOW!),,
tuxedo_bake.bake.desc,"Perform the bake. Warning, this performs an actual render!
This will create a copy of your avatar to leave the original alone.
Depending on your machine and model, this could take an hour or more.
For each pass, any Value node in your materials labeled bake_<bakename> will be
set to 1.0, for more granular customization.",,
tuxedo_bake.error.no_meshes,No meshes found!,,메쉬가 발견되지 않음!
tuxedo_bake.error.render_engine,You need to set your render engine to Cycles first!,,
tuxedo_bake.error.render_disabled,One or more of your armature's meshes have rendering disabled!,,
tuxedo_bake.info.success,Success! Textures and model saved to 'CATS Bake' folder next to your .blend file.,,
tuxedo_bake.tutorial_button.label,How to use,,사용법
tuxedo_bake.tutorial_button.desc,This will open the Cats wiki page for the Bake panel,,
tuxedo_bake.tutorial_button.URL,https://github.com/GiveMeAllYourCats/cats-blender-plugin/wiki/Bake,,
tuxedo_bake.tutorial_button.success,Bake Tutorial opened.,,
apply_current_shapekey_mix,"Apply current shapekey mix"
bake_device,"Bake Device"
bake_projected_light,"Bake projected light"
bake_the_effect_of_emission_on_nearby_surfaces_results_in_much_more_realistic_lighting_effects_but_can_animate_less_well,"Bake the effect of emission on nearby surfaces. Results in much more realistic lighting effects, but can animate less well."
bake_to_vertex_colors,"Bake to vertex colors"
bakes_the_effect_of_any_eye_glow_onto_surrounding_objects_but_not_viceversa_improves_animation_when_eyes_are_moving_around,"Bakes the effect of any eye glow onto surrounding objects, but not vice-versa. Improves animation when eyes are moving around.."
blends_emission_into_the_diffuse_map_for_engines_without_a_seperate_emission_map,"Blends emission into the diffuse map, for engines without a seperate emission map"
cleanup_shapekeys,"Cleanup Shapekeys"
convert_diffuse_and_metallic_to_premultiplied_diffuse_and_specular_compatible_with_older_engines,"Convert Diffuse and Metallic to premultiplied Diffuse and Specular. Compatible with older engines"
denoise_renders,"Denoise renders"
denoise_the_resulting_image_after_emitao_reccomended_as_this_will_reduce_the_grainy_quality_of_inexpensive_rendering,"Denoise the resulting image after emit/AO. Reccomended as this will reduce the 'grainy' quality of inexpensive rendering.."
device_to_bake_on_gpu_gives_a_significant_speedup_but_can_cause_issues_depending_on_your_graphics_drivers,"Device to bake on. GPU gives a significant speedup, but can cause issues depending on your graphics drivers."
diffuse_emission_overlay,"Diffuse Emission Overlay"
exclude_eyes,"Exclude eyes"
experimental_try_to_keep_uvps_lock_overlapping_enabled,"Experimental. Try to keep UVP's lock overlapping enabled"
export_format,"Export format"
for_source_engine_only_provides_diffuse_lighting_reflections_for_nonmetallic_objects,"For Source engine only. Provides diffuse lighting reflections for nonmetallic objects."
generate_an_additional_lod_used_for_simplified_physics_interactions,"Generate an additional LOD used for simplified physics interactions"
generate_courser_decimation_levels_for_efficient_rendering,"Generate courser decimation levels for efficient rendering."
generate_lods,"Generate LODs"
generate_physics_model,"Generate Physics Model"
generate_the_twistbones_on_the_upper_half_of_the_bone_usually_used_for_upper_legs,"Generate the twistbones on the upper half of the bone. Usually used for upper legs."
generate_upperhalf,"Generate Upperhalf"
gmod_model_name,"Gmod Model Name"
ignore_currently_hidden_objects_when_copying,"Ignore currently hidden objects when copying"
ignore_hidden_objects,"Ignore hidden objects"
image_export_format,"Image export format"
image_type_to_use_when_exporting,"image type to use when exporting"
invert_green_channel,"Invert green channel"
keep_overlapping_islands_uvp,"Keep Overlapping Islands (UVP)"
lod_generation_levels_as_a_percent_of_the_max_tris,"LOD generation levels, as a percent of the max tris"
lods,"LODs"
max_bones_per_prop,"Max Bones Per Prop"
maximum_bones_a_prop_can_be_attached_to_to_be_considered_a_prop_more_will_create_more_toggleable_props_but_increase_armature_complexity,"Maximum bones a prop can be attached to to be considered a prop. More will create more toggleable props, but increase armature complexity."
merge_any_bone_with_twist_in_the_name_useful_as_quest_does_not_support_constraints,"Merge any bone with 'Twist' in the name. Useful as Quest does not support constraints."
merge_twist_bones,"Merge Twist Bones"
merge_visible_meshes_only,"Merge Visible Meshes Only"
merges_smoothness_into_the_specular_map_for_engines_without_a_seperate_smoothness_map,"Merges smoothness into the specular map, for engines without a seperate smoothness map"
model_format_to_use_when_exporting,"Model format to use when exporting"
name,"Name"
normal_alpha_pack,"Normal Alpha Pack"
optimize_solid_materials,"Optimize Solid Materials"
optimizes_solid_materials_by_making_a_small_area_for_them_ao_pass_will_nullify,"Optimizes solid materials by making a small area for them. AO pass will nullify"
pack_ambient_occlusion_to_the_green_channel_saves_a_texture_as_unity_uses_g_for_ao_r_for_metallic,"Pack Ambient Occlusion to the Green channel. Saves a texture as Unity uses G for AO, R for Metallic."
pack_ao_to_metallic_green,"Pack AO to Metallic Green"
phong_setup_source,"Phong Setup (Source)"
physmodel_percent,"Physmodel Percent"
premultiply_diffuse_w_ao,"Premultiply Diffuse w/ AO"
premultiply_smoothness_w_ao,"Premultiply Smoothness w/ AO"
prop_bones_max_influence_count,"Prop bones Max Influence Count"
prop_bones_max_influence_count,"Prop bones Max Influence Count"
rebake_to_vertex_colors_after_initial_bake_avoids_an_entire_extra_texture_if_your_colors_are_simple_enough_incorperates_ao,"Rebake to vertex colors after initial bake. Avoids an entire extra texture, if your colors are simple enough. Incorperates AO."
remove_backup_shapekeys_in_the_final_result_eg_key__reverted_or_blinkold,"Remove backup shapekeys in the final result, e.g. 'Key1 - Reverted' or 'blink_old'"
select_this_to_keep_the_bones_after_merging_them_to_their_parents_or_to_the_active_bone,"Select this to keep the bones after merging them to their parents or to the active bone"
select_this_to_only_merge_the_weights_of_the_visible_meshes,"Select this to only merge the weights of the visible meshes"
seperate_vertices_unaffected_by_shape_keys_into_their_own_mesh_this_adds_a_drawcall_but_comes_with_a_significant_gpu_cost_savings_especially_on_mobile,"Seperate vertices unaffected by shape keys into their own mesh. This adds a drawcall, but comes with a significant GPU cost savings, especially on mobile."
sharpen_bakes,"Sharpen bakes"
sharpen_resampled_images_after_baking_diffusesmoothnessmetallic_reccomended_as_any_sampling_will_cause_blur,"Sharpen resampled images after baking diffuse/smoothness/metallic. Reccomended as any sampling will cause blur."
BakePanel.advanced_general_options.label,"Advanced General Options:",,
BakePanel.advanced_platform_options.label,"Advanced Platform Options:",,
source_engine_uses_an_inverse_green_channel_this_fixes_that_on_export,"Source engine uses an inverse green channel, this fixes that on export"
specular_alpha_channel,"Specular Alpha Channel"
specular_setup,"Specular Setup"
specular_smoothness_overlay,"Specular Smoothness Overlay"
steam_library,"Steam Library"
target_another_bone_naming_standard_when_exporting_requires_standard_bone_names,"Target another bone naming standard when exporting. Requires standard bone names"
the_angle_reproject_uses_when_unwrapping_larger_angles_yield_less_islands_but_more_stretching_and_smaller_does_opposite,"The angle Reproject uses when unwrapping. Larger angles yield less islands but more stretching and smaller does opposite"
this_option_will_detect_any_meshes_weighted_to_a_single_bone_and_create_a_prop_bone_you_can_independently_scale_to_,"This option will detect any meshes weighted to a single bone and create a 'prop' bone you can independently scale to 0."
translate_bone_names,"Translate bone names"
unwrap_angle,"Unwrap Angle"
what_to_pack_to_the_alpha_channel_of_specularity,"What to pack to the Alpha channel of Specularity"
when_selected_currently_active_shape_keys_will_be_applied_to_the_basis_this_is_extremely_beneficial_to_performance_if_your_avatar_is_intended_to_default_to_one_shapekey_mix_as_having_active_shapekeys_all_the_time_is_expensive_keys_ending_in_bake_are_always_applied_to_the_basis_and_removed_completely_regardless_of_this_option,"When selected, currently active shape keys will be applied to the basis. This is extremely beneficial to performance if your avatar is intended to 'default' to one shapekey"
mix," as having active shapekeys all the time is expensive. Keys ending in '_bake' are always applied to the basis and removed completely, regardless of this option."
while_not_technically_accurate_this_avoids_the_shine_effect_on_obscured_portions_of_your_model,"While not technically accurate, this avoids the 'shine effect' on obscured portions of your model"
will_show_extra_options_related_to_applicable_bones_and_texture_packing_setups,"Will show extra options related to applicable bones and texture packing setups."
will_show_extra_options_related_to_which_bake_passes_are_performed_and_how,"Will show extra options related to which bake passes are performed and how."

delete,Delete,,
add,Add,,
reloadmats,"Reload Materials",,
BakePanel.nosource_1,"To use Tuxedo Source features, you must use the BlenderSourceTools addon.",,
BakePanel.nosource_1,"The currently running script may also have hit a critical error.",,
BakePanel.nosource_1,"Performing an undo is highly suggested.",,
BakePanel.open_gpu_settings,"Open GPU Settings (Top of the page)",,
BakePanel.warn_using_cpu,"No render device configured in Blender settings. Bake will use CPU",,
BakePanel.new_plat,"New Platform",,
BakePanel.prop_handling.desc,"What to do with objects marked as Props",,
BakePanel.prop_handling.label,"Prop objects",,
BakePanel.prop_handling.none.desc,"Treat as ordinary objects and bake in",,
BakePanel.prop_handling.none.label,"None",,
BakePanel.prop_handling.generate.label,"Generate Bones/Animations",,
BakePanel.prop_handling.generate.desc,"Generate prop bones and animations for toggling",,
BakePanel.prop_handling.remove.label,"Remove",,
BakePanel.prop_handling.remove.desc,"Remove completely, for platforms with no animation support",,
BakePanel.manual.desc,"Bake will take island information from any UVMap named 'Target' from your meshes, else it will default to the render-active one. Decimation works better when there's only one giant island per loose mesh!",,
BakePanel.manual.label,"Manual",,
BakePanel.manual_no_pack.desc,"Bake will take island information from any UVMap named 'Target' from your meshes. This will not move them so when all meshes are selected with the uv map active they cannot overlap. If there is no 'Target' map it will default to the render-active one. Decimation works better when there's only one giant island per loose mesh!",,
BakePanel.manual_no_pack.label,"Manual Don't Pack",,


Tools.attach_clothes,"Attach Clothes to Body",,
Tools.attach_clothes_err1_1,"An already rigged body and other meshes required!",,
Tools.attach_clothes_err1_2,"Make sure the body is the one highlighted.",,
Tools.attach_clothes_err1_3,"Works with any mesh that conforms closely to the body.",,
Tools.anim_weight_incl_shapekeys.name,"Include Shapekeys",,
Tools.anim_weight_incl_shapekeys.desc,"Factor shapekeys into animation weighting. Disable if your model has large body shapekeys.",,

BakePanel.WarningPanel.desc,"Different warnings/errors before bake.",,
BakePanel.WarningPanel.label,"Warnings:",,
GmodPanel.gmod_visibility.shown_by_default,"In Game Visibility",,
GmodPanel.gmod_visibility.is_toggleable,"In Game Toggleable",,
GmodPanel.gmod_visibility.list_label,"Gmod Game Visibility",,

BakePanel.vrc_q_excellent,"VRChat Quest Excellent",,
BakePanel.vrc_q_good,"VRChat Quest Good",,
BakePanel.vrc_q_medium,"VRChat Quest Medium",,
BakePanel.vrc_d_excellent,"VRChat Desktop Excellent",,
BakePanel.vrc_d_good,"VRChat Desktop Good",,
BakePanel.second_life,"Second Life",,
BakePanel.garrys_mod_metallic,"Garrys Mod (Metallic)",,
BakePanel.garrys_mod_organic,"Garrys Mod (Organic)",,
BakePanel.garrys_mod_detect.desc,"Preset for generating a garrys mod character, and even auto installing the addon.",,
BakePanel.second_life_detect.desc,"Preset for producing a single-material Second Life Mesh avatar",,
BakePanel.all_detect.desc,"Attempt to bake all possible output platforms. Not significantly slower than baking for any one platform",,
BakePanel.all_detect.label,"Autodetect All",,
BakePanel.add_copyonly.label,"Set CopyOnly",,
BakePanel.add_copyonly.desc,"Only copy the selected meshes, make no attempt to bake them.",,
BakePanel.remove_copyonly.label,"Unset CopyOnly",,
BakePanel.remove_copyonly.desc,"Default behavior, bake in if visible",,

BakePanel.add_prop.label,"Set Prop",,
BakePanel.add_prop.desc,"Generate ~Prop bones and enable/disable animations for the selected meshes.",,
BakePanel.remove_prop.label,"Unset Prop",,
BakePanel.remove_prop.desc,"Disables prop bone generation for the selected meshes.",,

Bake.debug_bad_object,"For Tuxedo bake: you should CTRL+Z",,
Bake.error_save_file,"You need to save your .blend somewhere first!",,

Tools.fit_clothes.label,"Attach to selected",,
Tools.fit_clothes.desc,"Auto-rig all selected clothes to the active body. Should have next to no clipping, but its a good idea to delete internal geometry anyway",,

Tools.fit_clothes.success,"Clothes rigged!",,
Tools.repair_shapekeys.label,"Repair Broken Shapekeys",,
Tools.repair_shapekeys.desc,"Attempt to repair messed up shapekeys caused by some Blender operations",,
Tools.repair_shapekeys.success,"Repair complete.",,

Tools.smart_decimate.label,"Smart Decimate",,
Tools.smart_decimate.desc,"Decimate all meshes attached to the selected armature, preserving shapekeys.",,

no_mesh_found,"No meshes found.",,
no_armature_found,"No armature found.",,
no_tris,"No tris found.",,

SmartDecimation.no_decimation_needed,"No Decimation needed.",,
SmartDecimation.error_too_many_polys,"Can't reach target decimation level.",,
SmartDecimation.decimated_some_meshes,"Decimated some meshes that went over the individual mesh polygon limit of ",,

Tools.gen_twist_bones.label,"Generate Twist Bones",,
Tools.gen_twist_bones.desc,"Attempt to generate twistbones for the selected bones",,
Tools.gen_twist_bones.success,"Successfully added twistbones",,

Tools.convert_to_secondlife.label,"Convert Bones To Second Life",,
Tools.convert_to_secondlife.desc,"Converts all main bone names to second life.\nMake sure your model has the standard bone names from after using Fix Model",,
Tools.convert_bones.fail,"Failed to translate {translate_bone_fails} bones! They will be merged to their parent bones.",,
Tools.convert_bones.success,"Connected all bones!",,

Tools.convert_to_valve.label,"Convert Bones To Valve",,
Tools.convert_to_valve.desc,"Converts all main bone names to default valve bone names. \nMake sure your model has the standard bone names from after using Fix Model",,
Tools.export_gmod_addon.desc,"Compile and export as Gmod playermodel addon to your addons. May not always work.",,
Tools.export_gmod_addon.label,"Export Gmod Addon",,

FT.create_from_visemes,"Create from Visemes:",,
FT.select_shapes_1,"Select shape keys to create FT shape keys.",,
FT.select_shapes_2,"Specifying above will attempt to create them for you.",,
FT.select_shapes_3,"Currently requires rotation to be applied.",,
FT.mesh_missing,"Select the mesh with face shape keys.",,
FT.shapes_panel_label,"Face Tracking Generation",,




Scene.decimation_remove_doubles.label,Remove Doubles,ΘçìΦñçπéÆσëèΘÖñ,∞¥┤∞ñæ ∞á£Ω▒░
Scene.decimation_remove_doubles.desc,Uncheck this if you get issues with this checked,Uncheck this if you got issues with with this checked,δ¼╕∞á£Ω░Ç δÉá ∞ï£ ∞▓┤φü¼δÑ╝ φò┤∞á£φòÿ∞ä╕∞Üö
DecimationPanel.warn.notIfBaking,Not reccomended if baking!,,베이킹 할 시 권장되지 않습니다!
DecimationPanel.preset.excellent.label,Excellent,優れた,
DecimationPanel.preset.excellent.description,The maximum number of tris you can have for an Excellent rating.,優れた評価を得るために持つことができるトリスの最大数,당신의 아바타가 Excellent 등급을 받을 수 있는 최대 삼각폴리곤(Tris) 개수입니다.
DecimationPanel.preset.good.label,Good,良い,
DecimationPanel.preset.good.description,The maximum number of tris you can have for a Good rating.,あなたが良い評価のために持つことができるトリスの最大数,당신의 아바타가 Good 등급을 받을 수 있는 최대 삼각폴리곤(Tris) 개수입니다.
DecimationPanel.preset.quest.label,Quest,,
DecimationPanel.preset.quest.description,"The recommended number of tris for Quest avatars.",,
Scene.decimation_animation_weighting.label,Animation weighting,,
Scene.decimation_animation_weighting.desc,"Weight decimation based on shape keys and vertex group overlap
Results in better animating topology by trading off overall shape accuracy
Use if your elbows/joints end up with bad topology",,
Scene.decimation_animation_weighting_factor.label,Factor,,
Scene.decimation_animation_weighting_factor.desc,How much influence the animation weighting has on the overall shape,,
Scene.tuxedo_max_tris.label,Tris,トリス,삼각폴리곤(Tris)
Scene.tuxedo_max_tris.desc,The target amount of tris after decimation,,
Scene.max_tris.label,Tris,トリス,삼각폴리곤(Tris)
Scene.max_tris.desc,The target amount of tris after decimation,,

GmodPanel.gmod_not_found,"Your gmod install was not found! Check Warnings!",,
advanced_platform_options_desc,"Advanced platform options like export formats and data generators like for physics models.",,
GmodPanel.panel_desc,"The different options to use when compiling a Garry's Mod model.",,

ToolPanel.tools.label,"Tools",,


Importing.import_any_model.label,"Import Any Model",,
Importing.import_any_model.desc,"Import almost any model. This combines multiple blender importers into one import window.",,

Tuxedo.unsupported_version.1,"Potentially unsupported version detected!",,
Tuxedo.unsupported_version.2,"Some features may not work",,
Tuxedo.unsupported_version.3,"Current version supported is {ver}",,

Tools.import_any_model.label,"Import Any Model",,
Tools.import_any_model.desc,"Import almost any model into Blender. Contact us if you want one added.",,

Importing.import_any_model.label,"Import Model",,
Importing.import_any_model.desc,"Panel for importing any model into Blender 3D",,
Importing.need_importer, "You do not have the required importer for the ""{extension}"" type! Opening web browser for importer search term...",,
Importer.mmd_anim_importer.label,"MMD Animation",,
Importer.mmd_anim_importer.desc,"Import a MMD Animation (.vmd)",,
Importing.importer_search_term,"https://search.brave.com/search?q=blender+{extension}+importer+addon&source=web",,
